Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Rwanda,RWA,2014,Forest area (% of land area),AG.LND.FRST.ZS,10.9039319010944
Rwanda,RWA,2013,Forest area (% of land area),AG.LND.FRST.ZS,10.8633968382651
Rwanda,RWA,2012,Forest area (% of land area),AG.LND.FRST.ZS,10.8228617754358
Rwanda,RWA,2011,Forest area (% of land area),AG.LND.FRST.ZS,10.7823267126064
Rwanda,RWA,2010,Forest area (% of land area),AG.LND.FRST.ZS,10.7417916497771
Rwanda,RWA,2009,Forest area (% of land area),AG.LND.FRST.ZS,10.8309687880016
Rwanda,RWA,2008,Forest area (% of land area),AG.LND.FRST.ZS,10.9201459262262
Rwanda,RWA,2007,Forest area (% of land area),AG.LND.FRST.ZS,11.0093230644508
Rwanda,RWA,2006,Forest area (% of land area),AG.LND.FRST.ZS,11.0985002026753
Rwanda,RWA,2005,Forest area (% of land area),AG.LND.FRST.ZS,11.1876773408999
Rwanda,RWA,2004,Forest area (% of land area),AG.LND.FRST.ZS,11.2768544791244
Rwanda,RWA,2003,Forest area (% of land area),AG.LND.FRST.ZS,11.366031617349
Rwanda,RWA,2002,Forest area (% of land area),AG.LND.FRST.ZS,11.4552087555736
Rwanda,RWA,2001,Forest area (% of land area),AG.LND.FRST.ZS,11.5443858937981
Rwanda,RWA,2000,Forest area (% of land area),AG.LND.FRST.ZS,11.6335630320227
Rwanda,RWA,1999,Forest area (% of land area),AG.LND.FRST.ZS,11.7551682205107
Rwanda,RWA,1998,Forest area (% of land area),AG.LND.FRST.ZS,11.8767734089988
Rwanda,RWA,1997,Forest area (% of land area),AG.LND.FRST.ZS,11.9983785974868
Rwanda,RWA,1996,Forest area (% of land area),AG.LND.FRST.ZS,12.1199837859749
Rwanda,RWA,1995,Forest area (% of land area),AG.LND.FRST.ZS,12.2415889744629
Rwanda,RWA,1994,Forest area (% of land area),AG.LND.FRST.ZS,12.363194162951
Rwanda,RWA,1993,Forest area (% of land area),AG.LND.FRST.ZS,12.484799351439
Rwanda,RWA,1992,Forest area (% of land area),AG.LND.FRST.ZS,12.606404539927
Rwanda,RWA,1991,Forest area (% of land area),AG.LND.FRST.ZS,12.7280097284151
Rwanda,RWA,1990,Forest area (% of land area),AG.LND.FRST.ZS,12.8496149169031
Rwanda,RWA,2005,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,0.422115895800106
Rwanda,RWA,2022,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1991,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
Rwanda,RWA,1990,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1212
